#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 10 01 00 00  21  5.5  6.2 99.00 99.00 99.00 999 1010.9  23.2  22.8 999.0 99.0 99.00
2022 10 01 00 06  20  5.6  6.3 99.00 99.00 99.00 999 1010.9  23.2  22.8 999.0 99.0 99.00
2022 10 01 00 12  18  6.3  6.9 99.00 99.00 99.00 999 1010.9  23.3  22.8 999.0 99.0 99.00
2022 10 01 00 18  16  5.9  6.7 99.00 99.00 99.00 999 1010.9  23.1  22.8 999.0 99.0 99.00
2022 10 01 00 24  13  6.0  6.6 99.00 99.00 99.00 999 1011.0  23.0  22.7 999.0 99.0 99.00
2022 10 01 00 30  11  5.8  6.4 99.00 99.00 99.00 999 1011.0  23.0  22.7 999.0 99.0 99.00
2022 10 01 00 36  14  5.8  6.3 99.00 99.00 99.00 999 1011.1  23.0  22.7 999.0 99.0 99.00
2022 10 01 00 42   7  5.2  6.4 99.00 99.00 99.00 999 1011.1  22.9  22.7 999.0 99.0 99.00
2022 10 01 00 48   3  4.8  5.5 99.00 99.00 99.00 999 1011.2  22.7  23.6 999.0 99.0 99.00
2022 10 01 00 54   2  4.5  5.1 99.00 99.00 99.00 999 1011.3  22.6  24.0 999.0 99.0 99.00
2022 10 01 01 00   7  4.2  4.7 99.00 99.00 99.00 999 1011.3  22.6  24.4 999.0 99.0 99.00
2022 10 01 01 06   8  4.1  4.6 99.00 99.00 99.00 999 1011.4  22.7  24.7 999.0 99.0 99.00
2022 10 01 01 12 356  4.2  4.5 99.00 99.00 99.00 999 1011.4  22.8  25.0 999.0 99.0 99.00
2022 10 01 01 18   0  4.2  4.8 99.00 99.00 99.00 999 1011.5  22.8  24.6 999.0 99.0 99.00
2022 10 01 01 24   2  3.9  4.5 99.00 99.00 99.00 999 1011.5  22.8  24.1 999.0 99.0 99.00
2022 10 01 01 30 350  3.8  4.2 99.00 99.00 99.00 999 1011.6  22.7  24.1 999.0 99.0 99.00
2022 10 01 01 36 348  3.8  4.2 99.00 99.00 99.00 999 1011.6  22.7  24.1 999.0 99.0 99.00
2022 10 01 01 42 346  4.0  4.2 99.00 99.00 99.00 999 1011.6  22.7  24.4 999.0 99.0 99.00
2022 10 01 01 48 346  4.1  4.5 99.00 99.00 99.00 999 1011.6  22.7  24.2 999.0 99.0 99.00
2022 10 01 01 54 999 99.0 99.0 99.00 99.00 99.00 999 1011.6  22.7  24.5 999.0 99.0 99.00
2022 10 01 02 00 999 99.0 99.0 99.00 99.00 99.00 999 1011.6  22.7  24.8 999.0 99.0 99.00
2022 10 01 02 06 347  4.5  4.9 99.00 99.00 99.00 999 1011.6  22.6  25.0 999.0 99.0 99.00
2022 10 01 02 12 346  4.5  4.9 99.00 99.00 99.00 999 1011.6  22.5  25.1 999.0 99.0 99.00
2022 10 01 02 18 344  4.5  5.0 99.00 99.00 99.00 999 1011.6  22.4  25.0 999.0 99.0 99.00
2022 10 01 02 24 340  4.2  4.7 99.00 99.00 99.00 999 1011.6  22.2  24.7 999.0 99.0 99.00
2022 10 01 02 30 339  4.3  4.8 99.00 99.00 99.00 999 1011.6  22.2  24.6 999.0 99.0 99.00
2022 10 01 02 36 342  4.5  5.0 99.00 99.00 99.00 999 1011.7  22.1  24.6 999.0 99.0 99.00
